runs,likelihood,depth,output
9085,0.9819121447028424,17,"(4.0, 2.0, 0.4, 0.01)"
9110,0.9896373056994818,17,"(4.0, 2.0, 0.4, 0.01)"
9135,0.9608355091383812,17,"(4.0, 2.0, 0.4, 0.01)"
9160,0.9894736842105263,17,"(4.0, 2.0, 0.4, 0.01)"
9185,0.9634464751958225,17,"(4.0, 2.0, 0.4, 0.01)"
9210,0.9732620320855615,17,"(4.0, 2.0, 0.4, 0.01)"
9235,0.9621621621621622,17,"(4.0, 2.0, 0.4, 0.01)"
9260,0.9704301075268817,17,"(4.0, 2.0, 0.4, 0.01)"
9285,0.9686684073107049,17,"(4.0, 2.0, 0.4, 0.01)"
9310,0.9538043478260869,17,"(4.0, 2.0, 0.4, 0.01)"
9335,0.9686684073107049,17,"(4.0, 2.0, 0.4, 0.01)"
9360,0.9498680738786279,17,"(4.0, 2.0, 0.4, 0.01)"
9385,0.9921259842519685,17,"(4.0, 2.0, 0.4, 0.01)"
9410,0.9807162534435262,17,"(4.0, 2.0, 0.4, 0.01)"
9435,0.9776536312849162,17,"(4.0, 2.0, 0.4, 0.01)"
9460,0.9752066115702479,17,"(4.0, 2.0, 0.4, 0.01)"
9485,0.9945205479452055,17,"(4.0, 2.0, 0.4, 0.01)"
9510,0.9783783783783784,17,"(4.0, 2.0, 0.4, 0.01)"
9535,0.9757412398921833,17,"(4.0, 2.0, 0.4, 0.01)"
9560,0.9920844327176781,17,"(4.0, 2.0, 0.4, 0.01)"
9585,0.9917355371900827,17,"(4.0, 2.0, 0.4, 0.01)"
9610,0.9869791666666666,17,"(4.0, 2.0, 0.4, 0.01)"
9635,0.981081081081081,17,"(4.0, 2.0, 0.4, 0.01)"
9660,0.986449864498645,17,"(4.0, 2.0, 0.4, 0.01)"
9685,0.978319783197832,17,"(4.0, 2.0, 0.4, 0.01)"
9710,0.9786666666666667,17,"(4.0, 2.0, 0.4, 0.01)"
9735,0.9671232876712329,17,"(4.0, 2.0, 0.4, 0.01)"
9760,0.9777158774373259,17,"(4.0, 2.0, 0.4, 0.01)"
9785,0.9630681818181818,17,"(4.0, 2.0, 0.4, 0.01)"
9810,0.9773371104815864,17,"(4.0, 2.0, 0.4, 0.01)"
9835,0.9519774011299436,17,"(4.0, 2.0, 0.4, 0.01)"
9860,0.958217270194986,17,"(4.0, 2.0, 0.4, 0.01)"
9885,0.9224137931034483,17,"(4.0, 2.0, 0.4, 0.01)"
9910,0.9798850574712644,17,"(4.0, 2.0, 0.4, 0.01)"
9935,0.9749303621169917,17,"(4.0, 2.0, 0.4, 0.01)"
9960,0.9825581395348837,17,"(4.0, 2.0, 0.4, 0.01)"
9985,0.9915254237288136,17,"(4.0, 2.0, 0.4, 0.01)"
10010,0.9917355371900827,17,"(4.0, 2.0, 0.4, 0.01)"
10035,0.9914529914529915,17,"(4.0, 2.0, 0.4, 0.01)"
10060,0.9888579387186629,17,"(4.0, 2.0, 0.4, 0.01)"
10085,0.9863760217983651,17,"(4.0, 2.0, 0.4, 0.01)"
10110,0.9941348973607038,17,"(4.0, 2.0, 0.4, 0.01)"
10135,0.9914285714285714,17,"(4.0, 2.0, 0.4, 0.01)"
10160,0.9886363636363636,17,"(4.0, 2.0, 0.4, 0.01)"
10185,0.9886363636363636,17,"(4.0, 2.0, 0.4, 0.01)"
10210,0.9915966386554622,17,"(4.0, 2.0, 0.4, 0.01)"
10235,0.9857549857549858,17,"(4.0, 2.0, 0.4, 0.01)"
10260,0.9941176470588236,17,"(4.0, 2.0, 0.4, 0.01)"
10285,0.9909365558912386,17,"(4.0, 2.0, 0.4, 0.01)"
10310,0.9910179640718563,17,"(4.0, 2.0, 0.4, 0.01)"
10335,0.9861878453038674,17,"(4.0, 2.0, 0.4, 0.01)"
10360,0.9857954545454546,17,"(4.0, 2.0, 0.4, 0.01)"
10385,0.9889196675900277,17,"(4.0, 2.0, 0.4, 0.01)"
10410,0.9913793103448276,17,"(4.0, 2.0, 0.4, 0.01)"
10435,0.9879518072289156,17,"(4.0, 2.0, 0.4, 0.01)"
10460,0.976878612716763,17,"(4.0, 2.0, 0.4, 0.01)"
10485,0.9887005649717514,17,"(4.0, 2.0, 0.4, 0.01)"
10510,0.9799426934097422,17,"(4.0, 2.0, 0.4, 0.01)"
10535,0.9820359281437125,17,"(4.0, 2.0, 0.4, 0.01)"
10560,0.9884057971014493,17,"(4.0, 2.0, 0.4, 0.01)"
10585,0.9855072463768116,17,"(4.0, 2.0, 0.4, 0.01)"
10610,0.9883040935672515,17,"(4.0, 2.0, 0.4, 0.01)"
10635,0.9852507374631269,17,"(4.0, 2.0, 0.4, 0.01)"
10660,0.9875,17,"(4.0, 2.0, 0.4, 0.01)"
10685,0.9663608562691132,17,"(4.0, 2.0, 0.4, 0.01)"
10710,0.980225988700565,17,"(4.0, 2.0, 0.4, 0.01)"
10735,0.9828080229226361,17,"(4.0, 2.0, 0.4, 0.01)"
10760,0.9667590027700831,17,"(4.0, 2.0, 0.4, 0.01)"
10785,0.9767441860465116,17,"(4.0, 2.0, 0.4, 0.01)"
10810,0.9855907780979827,17,"(4.0, 2.0, 0.4, 0.01)"
10835,0.9793510324483776,17,"(4.0, 2.0, 0.4, 0.01)"
10860,0.9790419161676647,17,"(4.0, 2.0, 0.4, 0.01)"
10885,0.9584569732937686,17,"(4.0, 2.0, 0.4, 0.01)"
10910,0.9817629179331308,17,"(4.0, 2.0, 0.4, 0.01)"
10935,0.972809667673716,17,"(4.0, 2.0, 0.4, 0.01)"
10960,0.9731343283582089,17,"(4.0, 2.0, 0.4, 0.01)"
10985,0.9770114942528736,17,"(4.0, 2.0, 0.4, 0.01)"
11010,0.9883040935672515,17,"(4.0, 2.0, 0.4, 0.01)"
11035,0.9779179810725552,17,"(4.0, 2.0, 0.4, 0.01)"
11060,0.972809667673716,17,"(4.0, 2.0, 0.4, 0.01)"
11085,0.975609756097561,17,"(4.0, 2.0, 0.4, 0.01)"
11110,0.9689265536723164,17,"(4.0, 2.0, 0.4, 0.01)"
11135,0.9697802197802198,17,"(4.0, 2.0, 0.4, 0.01)"
11160,0.9755434782608695,17,"(4.0, 2.0, 0.4, 0.01)"
11185,0.9509536784741145,17,"(4.0, 2.0, 0.4, 0.01)"
11210,0.9742857142857143,17,"(4.0, 2.0, 0.4, 0.01)"
11235,0.9802816901408451,17,"(4.0, 2.0, 0.4, 0.01)"
11260,0.9885386819484241,17,"(4.0, 2.0, 0.4, 0.01)"
11285,0.9884057971014493,17,"(4.0, 2.0, 0.4, 0.01)"
11310,0.9668674698795181,17,"(4.0, 2.0, 0.4, 0.01)"
11335,0.9885714285714285,17,"(4.0, 2.0, 0.4, 0.01)"
11360,0.987987987987988,17,"(4.0, 2.0, 0.4, 0.01)"
11385,0.996996996996997,17,"(4.0, 2.0, 0.4, 0.01)"
11410,0.9751552795031055,17,"(4.0, 2.0, 0.4, 0.01)"
11435,0.9911764705882353,17,"(4.0, 2.0, 0.4, 0.01)"
11460,0.9848942598187311,17,"(4.0, 2.0, 0.4, 0.01)"
11485,0.9848942598187311,17,"(4.0, 2.0, 0.4, 0.01)"
11510,0.97953216374269,17,"(4.0, 2.0, 0.4, 0.01)"
11535,0.9846625766871165,17,"(4.0, 2.0, 0.4, 0.01)"
11560,0.9682080924855492,17,"(4.0, 2.0, 0.4, 0.01)"
11585,0.9880952380952381,17,"(4.0, 2.0, 0.4, 0.01)"
11595,0.9701492537313433,17,"(4.0, 2.0, 0.4, 0.01)"
11620,0.9855491329479769,17,"(4.0, 2.0, 0.4, 0.01)"
11645,0.9886685552407932,17,"(4.0, 2.0, 0.4, 0.01)"
11670,0.9859154929577465,17,"(4.0, 2.0, 0.4, 0.01)"
11695,0.9775280898876404,17,"(4.0, 2.0, 0.4, 0.01)"
11720,0.9660056657223796,17,"(4.0, 2.0, 0.4, 0.01)"
11745,0.9777158774373259,17,"(4.0, 2.0, 0.4, 0.01)"
11770,0.9919137466307277,17,"(4.0, 2.0, 0.4, 0.01)"
11795,0.9697802197802198,17,"(4.0, 2.0, 0.4, 0.01)"
11820,0.9803921568627451,17,"(4.0, 2.0, 0.4, 0.01)"
11845,0.9808743169398907,17,"(4.0, 2.0, 0.4, 0.01)"
11870,0.9671232876712329,17,"(4.0, 2.0, 0.4, 0.01)"
11895,0.9837837837837838,17,"(4.0, 2.0, 0.4, 0.01)"
11920,0.98005698005698,17,"(4.0, 2.0, 0.4, 0.01)"
11945,0.9785522788203753,17,"(4.0, 2.0, 0.4, 0.01)"
11970,0.9807162534435262,17,"(4.0, 2.0, 0.4, 0.01)"
11995,0.9753424657534246,17,"(4.0, 2.0, 0.4, 0.01)"
12020,0.9778393351800554,17,"(4.0, 2.0, 0.4, 0.01)"
12045,0.9752747252747253,17,"(4.0, 2.0, 0.4, 0.01)"
12070,0.9744318181818182,17,"(4.0, 2.0, 0.4, 0.01)"
12095,0.9571428571428572,17,"(4.0, 2.0, 0.4, 0.01)"
12120,0.9642857142857143,17,"(4.0, 2.0, 0.4, 0.01)"
12145,0.9773371104815864,17,"(4.0, 2.0, 0.4, 0.01)"
12170,0.9578651685393258,17,"(4.0, 2.0, 0.4, 0.01)"
12195,0.9490084985835694,17,"(4.0, 2.0, 0.4, 0.01)"
12220,0.9712643678160919,17,"(4.0, 2.0, 0.4, 0.01)"
12245,0.9719887955182073,17,"(4.0, 2.0, 0.4, 0.01)"
12270,0.9777777777777777,17,"(4.0, 2.0, 0.4, 0.01)"
12295,0.9769452449567724,17,"(4.0, 2.0, 0.4, 0.01)"
12320,0.9773371104815864,17,"(4.0, 2.0, 0.4, 0.01)"
12345,0.9799426934097422,17,"(4.0, 2.0, 0.4, 0.01)"
12370,0.9498607242339833,17,"(4.0, 2.0, 0.4, 0.01)"
12395,0.9538904899135446,17,"(4.0, 2.0, 0.4, 0.01)"
12420,0.9643835616438357,17,"(4.0, 2.0, 0.4, 0.01)"
12445,0.9811827956989247,17,"(4.0, 2.0, 0.4, 0.01)"
12455,0.9643835616438357,17,"(4.0, 2.0, 0.4, 0.01)"
12480,0.9656992084432717,17,"(4.0, 2.0, 0.4, 0.01)"
12505,0.9402173913043478,17,"(4.0, 2.0, 0.4, 0.01)"
12530,0.9591280653950953,17,"(4.0, 2.0, 0.4, 0.01)"
12555,0.9551451187335093,17,"(4.0, 2.0, 0.4, 0.01)"
12580,0.9386666666666666,17,"(4.0, 2.0, 0.4, 0.01)"
12605,0.9679144385026738,17,"(4.0, 2.0, 0.4, 0.01)"
12630,0.9591280653950953,17,"(4.0, 2.0, 0.4, 0.01)"
12655,0.9340369393139841,17,"(4.0, 2.0, 0.4, 0.01)"
12680,0.9567567567567568,17,"(4.0, 2.0, 0.4, 0.01)"
12705,0.9680851063829787,17,"(4.0, 2.0, 0.4, 0.01)"
12730,0.9708222811671088,17,"(4.0, 2.0, 0.4, 0.01)"
12755,0.9601063829787234,17,"(4.0, 2.0, 0.4, 0.01)"
12780,0.9497354497354498,17,"(4.0, 2.0, 0.4, 0.01)"
12805,0.9602122015915119,17,"(4.0, 2.0, 0.4, 0.01)"
12830,0.9557291666666666,17,"(4.0, 2.0, 0.4, 0.01)"
12855,0.9396325459317585,17,"(4.0, 2.0, 0.4, 0.01)"
12880,0.9532467532467532,17,"(4.0, 2.0, 0.4, 0.01)"
12905,0.958656330749354,17,"(4.0, 2.0, 0.4, 0.01)"
12930,0.9705882352941176,17,"(4.0, 2.0, 0.4, 0.01)"
12955,0.9712793733681462,17,"(4.0, 2.0, 0.4, 0.01)"
12980,0.9558441558441558,17,"(4.0, 2.0, 0.4, 0.01)"
13005,0.9491978609625669,17,"(4.0, 2.0, 0.4, 0.01)"
13030,0.9664948453608248,17,"(4.0, 2.0, 0.4, 0.01)"
13055,0.9604221635883905,17,"(4.0, 2.0, 0.4, 0.01)"
13080,0.9604221635883905,17,"(4.0, 2.0, 0.4, 0.01)"
13105,0.9559585492227979,17,"(4.0, 2.0, 0.4, 0.01)"
13130,0.9422572178477691,17,"(4.0, 2.0, 0.4, 0.01)"
13155,0.9655172413793104,17,"(4.0, 2.0, 0.4, 0.01)"
13180,0.9712041884816754,17,"(4.0, 2.0, 0.4, 0.01)"
13205,0.9394736842105263,17,"(4.0, 2.0, 0.4, 0.01)"
13230,0.9396325459317585,17,"(4.0, 2.0, 0.4, 0.01)"
13255,0.9645569620253165,17,"(4.0, 2.0, 0.4, 0.01)"
13280,0.9615384615384616,17,"(4.0, 2.0, 0.4, 0.01)"
